id	nome	bonus	possui_especializacao
2	Acrobacias	5	0
5	Arte	2	1
1	Ações Furtivas	5	0
6	Carpintaria	5	0
8	Corrida	5	0
12	Engenharia	0	0
13	Escalar Superfícies	5	0
14	Escapar	5	0
15	Escrita	0	1
16	Etiqueta	2	0
18	Furtar Objetos	5	0
19	Jogatina	6	0
20	Lidar com Animais	6	0
21	Liderança	2	0
23	Malabarismo	5	0
24	Manusear Armadilhas	6	0
25	Medicina	0	0
26	Misticismo	0	0
27	Montar Animais	5	0
28	Natação	4	0
30	Navegação	6	0
29	Náutica	6	0
33	Persuasão	2	0
34	Religião	0	0
36	Seguir Trilhas	6	0
38	Sobrevivência	6	0
39	Trabalho em Metal	6	0
40	Trabalhos Manuais	5	0
42	Venefício	0	0


INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (1	,1	,1		);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (2	,1	,1		);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (14	,1	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (77	,1	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (90	,1	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (92	,1	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (96	,1	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (139	,1	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (155	,1	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (200	,1	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (207	,1	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (209	,1	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (36	,5	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (38	,5	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (107	,5	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (112	,5	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (117	,5	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (169	,5	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (240	,5	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (247	,5	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (52	,6	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (76	,6	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (167	,6	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (181	,6	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (191	,6	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (208	,6	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (244	,6	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (246	,6	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (40	,7	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (63	,7	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (113	,7	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (122	,7	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (129	,7	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (142	,7	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (191	,7	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (208	,7	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (6	,2	,3		);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (42	,2	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (81	,2	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (91	,2	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (98	,2	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (138	,2	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (144	,2	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (152	,2	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (154	,2	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (219	,2	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (223	,2	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (239	,2	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (25	,8	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (34	,8	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (56	,8	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (80	,8	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (126	,8	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (136	,8	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (148	,8	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (156	,8	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (21	,9	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (41	,9	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (43	,9	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (44	,9	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (108	,9	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (145	,9	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (215	,9	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (231	,9	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (23	,10	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (51	,10	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (61	,10	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (68	,10	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (134	,10	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (135	,10	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (137	,10	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (173	,10	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (11	,3	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (54	,3	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (70	,3	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (71	,3	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (97	,3	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (146	,3	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (166	,3	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (179	,3	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (197	,3	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (207	,3	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (218	,3	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (224	,3	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (12	,11	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (201	,11	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (49	,11	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (203	,11	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,11	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (210	,11	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (69	,11	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (211	,11	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (217	,11	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (70	,11	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (189	,11	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (221	,11	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (195	,11	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (241	,11	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (39	,12	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (58	,12	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,12	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (69	,12	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (70	,12	,1	);
